benchmark_id,tier,condition,sql_generated,exec_success,retry_count,exec_time_ms,suggested_chart_type,sql_correct,failure_mode
Q01,1,baseline,"SELECT
    COUNT(DISTINCT product_id) AS distinct_skus_sold
FROM
    fact_sales
WHERE
    year = 2024
    AND quarter = 1;",1,0,43.1,auto,1,
Q01,1,treatment,"SELECT
    COUNT(DISTINCT product_id) AS distinct_skus_sold
FROM
    fact_sales
WHERE
    year = 2024
    AND quarter = 1
    AND is_zero_price = FALSE
    AND is_volume_outlier = FALSE;",1,0,34.4,auto,0,FP-02
Q02,1,baseline,"SELECT
  dp.sku_name,
  SUM(fs.net_revenue_gbp) AS total_net_revenue
FROM fact_sales AS fs
JOIN dim_product AS dp
  ON fs.product_id = dp.product_id
WHERE
  fs.year = 2025 AND dp.is_active = TRUE AND fs.is_volume_outlier = FALSE AND fs.is_zero_price = FALSE
GROUP BY
  dp.sku_name
ORDER BY
  total_net_revenue DESC
LIMIT 10;",1,0,70.8,bar,1,
Q02,1,treatment,"SELECT
    dp.sku_name,
    SUM(fs.net_revenue_gbp) AS total_net_revenue_gbp
FROM
    fact_sales AS fs
JOIN
    dim_product AS dp ON fs.product_id = dp.product_id
WHERE
    fs.year = 2025
    AND dp.is_active = TRUE
    AND fs.is_zero_price = FALSE
    AND fs.is_volume_outlier = FALSE
GROUP BY
    dp.sku_name
ORDER BY
    total_net_revenue_gbp DESC
LIMIT 10;",1,0,56.3,bar,1,
Q03,1,baseline,,0,0,,auto,0,NO SQL
Q03,1,treatment,"SELECT
    SUM(incremental_volume) AS total_incremental_volume_2024
FROM fact_sales
WHERE year              = 2024
  AND is_promoted       = TRUE
  AND is_volume_outlier = FALSE;",1,0,36.7,bar,1,
Q04,2,baseline,"SELECT
  dc.channel,
  SUM(fs.gross_revenue_gbp) AS total_gross_revenue_gbp,
  SUM(fs.trade_discount_gbp) AS total_trade_discount_gbp
FROM fact_sales AS fs
JOIN dim_customer AS dc
  ON fs.customer_id = dc.customer_id
WHERE
  fs.year = 2025 AND fs.is_zero_price = FALSE AND fs.is_volume_outlier = FALSE
GROUP BY
  dc.channel;",1,0,66.6,bar,1,
Q04,2,treatment,"SELECT
    dc.channel,
    SUM(fs.gross_revenue_gbp)    AS total_gross_revenue_gbp,
    SUM(fs.trade_discount_gbp)   AS total_trade_discount_gbp
FROM fact_sales fs
JOIN dim_customer dc ON fs.customer_id = dc.customer_id
WHERE fs.year              = 2025
  AND fs.is_zero_price     = FALSE
  AND fs.is_volume_outlier = FALSE
GROUP BY dc.channel
ORDER BY total_gross_revenue_gbp DESC;",1,0,71.1,bar,1,
Q05,2,baseline,"SELECT
    quarter,
    SUM(brand_volume_units) * 100.0 / SUM(total_category_volume_units) AS nitroboost_volume_market_share_pct
FROM
    fact_market
WHERE
    brand = 'NitroBoost'
    AND year = 2024
GROUP BY
    quarter
ORDER BY
    quarter;",1,0,11.9,bar,0,FP-02
Q05,2,treatment,"SELECT
    year,
    quarter,
    brand,
    ROUND(SUM(brand_volume_units) * 100.0
          / NULLIF(SUM(total_category_volume_units), 0), 2) AS market_share_volume_pct
FROM fact_market
WHERE brand            = 'NitroBoost'
  AND year             = 2024
  AND is_vol_violation = FALSE
GROUP BY year, quarter, brand
ORDER BY year, quarter;",1,0,7.6,auto,1,
